Zip,Age,Unsubsidized Cost
99506,30,899
99757,30,1002
99801,30,921
36250,30,456
36652,30,445
36119,30,495
35458,30,451
36553,30,457
36865,30,469
35182,30,488
36871,30,483
35643,30,468
36320,30,440
35645,30,495
35990,30,472
35804,30,525
72856,30,406
72564,30,406
72739,30,406
71910,30,406
72182,30,406
71724,30,406
72926,30,406
86429,30,547
86332,30,604
85357,30,549
85392,30,330
85131,30,339
85730,30,324
85536,30,436
95712,30,679
95387,30,484
93611,30,438
93062,30,515
92251,30,438
93390,30,431
90610,30,362
92501,30,366
92707,30,422
92173,30,391
95472,30,528
95815,30,533
94109,30,592
94807,30,624
94538,30,569
95051,30,508
94037,30,641
93901,30,661
80026,30,364
80905,30,403
80124,30,388
80526,30,401
81507,30,401
80754,30,401
81006,30,401
81248,30,585
80479,30,461
6880,30,659
6137,30,563
6785,30,609
6457,30,609
6513,30,609
6385,30,609
6075,30,609
6281,30,609
20410,30,462
19898,30,474
32609,30,501
32050,30,458
34116,30,493
32038,30,538
34268,30,462
32628,30,545
32226,30,422
32508,30,457
32143,30,475
32322,30,439
32351,30,473
32063,30,500
32619,30,522
33944,30,660
32053,30,781
33890,30,668
33975,30,660
34607,30,451
33871,30,462
33594,30,435
32452,30,440
32444,30,451
32962,30,433
32446,30,527
32345,30,404
32066,30,633
34736,30,452
33973,30,496
32626,30,514
32360,30,428
32340,30,418
32042,30,494
34211,30,453
34472,30,434
34956,30,492
33243,30,457
33040,30,805
32034,30,534
32536,30,487
34973,30,660
32710,30,465
34743,30,442
32910,30,412
33410,30,468
34669,30,450
33732,30,442
33844,30,454
32185,30,501
32583,30,491
34229,30,436
32707,30,470
32004,30,483
34947,30,503
33314,30,440
34785,30,449
32071,30,535
32347,30,530
32697,30,638
32121,30,444
32326,30,430
32433,30,470
32463,30,573
32424,30,428
33951,30,475
34442,30,464
39870,30,415
30566,30,329
31535,30,350
31004,30,397
30177,30,378
31405,30,451
31604,30,344
31054,30,394
30602,30,510
30396,30,460
30140,30,432
30822,30,459
31546,30,360
30757,30,392
30286,30,434
30719,30,412
50075,30,361
50311,30,364
51012,30,341
51578,30,399
52335,30,392
52004,30,369
52166,30,420
83283,30,397
83346,30,418
83460,30,382
83553,30,393
83630,30,385
83735,30,385
83847,30,368
60684,30,354
62551,30,578
62292,30,487
62289,30,391
62461,30,787
60035,30,355
60561,30,354
60442,30,327
61065,30,521
61418,30,508
61615,30,551
61790,30,676
61941,30,677
46304,30,331
46075,30,343
47344,30,337
47203,30,320
47435,30,320
47022,30,338
47573,30,324
47104,30,273
47710,30,338
46616,30,334
46778,30,334
46809,30,373
47986,30,336
46967,30,342
46170,30,368
47304,30,334
47851,30,368
66085,30,421
66683,30,443
66946,30,456
67733,30,490
67857,30,668
67221,30,450
66740,30,511
42033,30,423
42402,30,390
40208,30,369
42503,30,419
40357,30,377
40317,30,356
41560,30,431
70050,30,424
70395,30,522
70392,30,516
70591,30,497
70820,30,440
71339,30,569
71294,30,519
71064,30,407
1144,30,418
1571,30,426
1721,30,406
1945,30,412
2222,30,412
2357,30,400
2539,30,749
21202,30,324
20619,30,324
20851,30,324
21777,30,324
4011,30,463
4333,30,494
4412,30,492
4669,30,527
48224,30,320
49020,30,359
49406,30,359
49501,30,353
48674,30,417
49636,30,434
48721,30,461
49847,30,665
48165,30,298
48061,30,362
48190,30,321
48437,30,307
48755,30,430
49259,30,376
48602,30,417
49091,30,424
55026,30,481
55614,30,401
56173,30,380
56226,30,367
56529,30,334
55084,30,321
56310,30,329
56715,30,355
64424,30,520
63763,30,516
63501,30,572
64054,30,419
64741,30,489
64660,30,526
63050,30,375
64835,30,469
65732,30,447
63941,30,505
38661,30,432
38862,30,429
39060,30,431
39463,30,437
39567,30,437
38838,30,426
59054,30,392
59644,30,574
59914,30,476
59466,30,536
28662,30,493
27594,30,467
27599,30,439
27967,30,574
27545,30,425
27873,30,568
28463,30,491
27806,30,579
28667,30,426
28640,30,473
28222,30,430
28152,30,458
27152,30,382
27370,30,391
28374,30,481
28367,30,425
58566,30,439
58108,30,399
58203,30,467
58752,30,521
68016,30,520
68364,30,520
68870,30,546
69345,30,626
3818,30,291
8821,30,433
87185,30,400
87401,30,488
88011,30,462
87505,30,500
87714,30,530
89109,30,339
89533,30,425
89448,30,506
89419,30,592
43520,30,395
45695,30,387
44053,30,361
44866,30,372
44432,30,369
44667,30,419
44705,30,384
43974,30,409
45773,30,481
45848,30,396
45070,30,425
45237,30,365
45167,30,370
43439,30,368
44906,30,456
43325,30,456
43360,30,446
74940,30,505
73507,30,488
73156,30,398
74037,30,412
73651,30,551
97254,30,414
97438,30,467
97310,30,446
97637,30,485
97449,30,529
97734,30,552
97484,30,514
16505,30,362
15861,30,612
18810,30,432
15665,30,344
15547,30,380
18351,30,481
17516,30,409
19330,30,323
17223,30,757
2804,30,377
29659,30,361
29422,30,355
29341,30,521
29714,30,440
29728,30,435
29041,30,418
29475,30,410
29079,30,425
29567,30,428
29484,30,410
29809,30,395
29065,30,424
29504,30,428
29585,30,365
29613,30,434
29647,30,361
29923,30,392
29526,30,367
29927,30,434
29074,30,417
29720,30,435
29810,30,392
29370,30,406
29046,30,421
29169,30,464
29519,30,413
29512,30,440
29108,30,429
29686,30,412
29115,30,396
29682,30,441
29624,30,463
29217,30,426
29166,30,427
29333,30,468
29150,30,398
29353,30,501
29556,30,412
29745,30,453
29003,30,394
29808,30,392
29902,30,434
29431,30,410
57538,30,568
57030,30,380
57324,30,573
57361,30,568
37684,30,452
37815,30,417
37347,30,447
37205,30,488
38378,30,447
38177,30,429
38553,30,500
38450,30,516
76469,30,595
77506,30,389
76543,30,474
78041,30,419
75606,30,414
79453,30,511
78577,30,403
79711,30,450
79762,30,396
76939,30,554
78234,30,434
76268,30,506
75559,30,516
75762,30,444
77978,30,484
76716,30,429
76369,30,645
78547,30,409
78681,30,465
77630,30,415
78526,30,414
77803,30,457
78469,30,483
75378,30,425
79916,30,424
84305,30,604
84201,30,492
84124,30,470
84045,30,487
84772,30,651
84667,30,821
24086,30,351
22332,30,317
22603,30,351
23414,30,351
22931,30,351
24566,30,351
22834,30,351
24270,30,351
24533,30,351
22446,30,334
24026,30,351
23670,30,328
98103,30,382
98286,30,393
98628,30,415
99224,30,363
99333,30,413
53215,30,409
53088,30,389
53008,30,396
54547,30,541
53191,30,411
53950,30,443
54173,30,422
53703,30,383
54011,30,482
54722,30,588
54828,30,567
54636,30,514
53595,30,502
54513,30,550
53192,30,410
26662,30,832
26181,30,881
26075,30,789
25054,30,832
24895,30,832
24732,30,832
25713,30,894
25403,30,719
26884,30,719
26348,30,811
24944,30,811
82630,30,762
82050,30,729
83025,30,783
92825,30,422
32313,30,406
96824,30,438
41007,30,433
01832,30,412
56051,30,432
12834,30,587
14215,30,497
12540,30,675
10302,30,782
14537,30,613
14874,30,572
12933,30,809
11941,30,691
29844,30,354
79111,30,465
05261,30,"1,134"
54495,30,477